Complexity,Loss,Equation
1,0.0033168024,"0.1092312"
5,0.0029467118,"erfc(exp(sigma * 0.044795882))"
6,0.0027914331,"(0.13647476 / exp(erfc(exp(x))))"
7,0.0023992697,"(0.3590885 / (x + exp(erfc(x))))"
8,0.0020897295,"(0.3590885 / (sigma + erfc(mu / x)))"
9,0.0019062273,"(0.52960825 / (sigma + exp(square(0.46451885 * x))))"
10,0.0008273675,"(0.41695642 / (sigma + square((x / -1.3429536) + mu)))"
12,0.00054122385,"(0.38555905 / (sigma + (square(mu + (x / -1.2242454)) / sigma)))"
13,0.00034261265,"(0.37541732 / (sigma + square(((x + -1.567557) + erfc(mu)) / sigma)))"
14,0.00014103352,"(0.38858783 / (sigma + (square((mu + (x * -0.9036078)) + 0.55893135) / sigma)))"
15,8.030248e-5,"(0.35748374 / (sigma + square(square((((x * -0.955805) + mu) / sigma) + 0.30503055))))"
17,6.6556015e-5,"(0.38858783 / (sigma + square(square(((mu + (x * -0.8816773)) + 0.55893135) / sigma) + 0.34504732)))"
18,6.593696e-5,"(0.38858783 / (sigma + square(square((mu + ((x * -0.9036078) + 0.5260217)) / sigma) + square(0.55893135))))"
19,5.8277958e-5,"(0.37605298 / (sigma + square(square(((mu + (x * -0.9024546)) + 0.54365844) / sigma) + (0.35748374 / lambda))))"
