Complexity,Loss,Equation
1,0.0025669632,"0.113741614"
3,0.0017779416,"(0.2596048 / sigma)"
4,0.0015408439,"(erfc(sigma) + 0.099342026)"
5,0.0013158126,"((0.1687639 / sigma) + 0.046289172)"
7,0.0012246113,"(0.30222666 / (erfc(exp(x)) + sigma))"
8,0.0009414442,"(0.46760836 / (exp(erfc(exp(x))) + sigma))"
9,0.0008837405,"(0.4576345 / (exp(erfc(2.2109146 + x)) + sigma))"
10,0.00065086066,"(0.508723 / (exp(erfc(erfc(mu) + x)) + sigma))"
11,0.0005158892,"(0.35140353 / (sigma + erfc(sigma / (erfc(mu) + x))))"
12,0.00042430498,"(0.4430592 / ((exp(erfc(erfc(mu) + x)) / lambda) + sigma))"
13,0.00038548667,"(0.4801686 / (sigma + exp(erfc(((mu * -0.7116187) + lambda) + x))))"
14,0.00036048313,"(0.4430592 / ((exp(erfc((erfc(mu) / 0.82102025) + x)) / lambda) + sigma))"
15,0.00036013458,"(0.4430592 / ((exp(erfc(x + (erfc(-0.2160153) * erfc(mu)))) / lambda) + sigma))"
16,0.00026312945,"(0.5173461 / ((exp(erfc(erfc(mu) + x)) + (erfc(exp(mu)) * x)) + sigma))"
17,0.00021309438,"(0.5173461 / (((exp(erfc(erfc(mu) + x)) + erfc(x / mu)) / lambda) + sigma))"
18,0.00020533623,"(0.5173461 / ((exp(erfc(erfc(mu + -0.59836537) + x)) + (erfc(exp(mu)) * x)) + sigma))"
19,0.00017920767,"(0.5173461 / (((exp(erfc(erfc(mu) + x)) + erfc(x * (mu + -0.37305576))) / lambda) + sigma))"
20,0.00016628458,"(0.4675847 / (((exp(erfc((erfc(mu) * 1.1889539) + x)) / lambda) + erfc(exp(x / mu))) + sigma))"
