Complexity,Loss,Equation
1,0.101650245,"0.6452453"
4,0.08767904,"exp(-0.836015 / x2)"
5,0.08748752,"(0.8909063 + (-0.4571697 / x2))"
7,0.05934193,"(0.64530545 + ((0.07530681 * x1) * x0))"
9,0.044468403,"exp(-0.28953663 / exp((x0 * x1) / x2))"
10,0.03977203,"exp(-2.3183832 / square((square(x2) / x0) + x1))"
11,6.076787e-6,"exp(-0.507242 / square(x2 / ((x0 / -1.0081439) + x1)))"
12,1.1135002e-10,"exp(-0.5000332 / (square(x2) / square((x0 * -0.99997544) + x1)))"
15,4.710326e-11,"exp(-0.99997544 / ((x2 + x2) / (square((x0 / -0.99997544) + x1) / x2)))"
19,4.6528194e-11,"exp(-0.48010036 / square((((x2 / -0.81605196) / 0.89054054) / -1.4042901) / (((x0 * -1.2378106) * 0.80786425) + x1)))"
